
"Source Name",Path,"Date Accessed","Data Source",Comment
"msteamssystem-initiated.lnk","No preferred path found","2026-04-24 18:51:29 EDT","Windows_Ransomware_Build.vmdk",
"ms-screenclip---source=HotKey.lnk","No preferred path found","2026-04-23 23:22:27 EDT","Windows_Ransomware_Build.vmdk",
"No preferred path found.lnk","No preferred path found","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Music.lnk,"C:\Users\mtann\Music","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Videos.lnk,"C:\Users\mtann\Videos","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Music.lnk,"C:\Users\ITAdmin\Music","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Desktop.lnk,"C:\Users\mtann\Desktop","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Videos.lnk,"C:\Users\ITAdmin\Videos","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Pictures.lnk,"C:\Users\mtann\Pictures","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Desktop.lnk,"C:\Users\ITAdmin\Desktop","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Downloads.lnk,"C:\Users\mtann\Downloads","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Documents.lnk,"C:\Users\mtann\Documents","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Pictures.lnk,"C:\Users\ITAdmin\Pictures","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Downloads.lnk,"C:\Users\ITAdmin\Downloads","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
Documents.lnk,"C:\Users\ITAdmin\Documents","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
desktop.ini.locked.lnk,"C:\Users\mtann\Desktop\desktop.ini.locked","2026-04-24 18:52:47 EDT","Windows_Ransomware_Build.vmdk",
mtann.lnk,"C:\Users\mtann","2026-04-24 18:54:42 EDT","Windows_Ransomware_Build.vmdk",
site_671.jpg.locked.lnk,"C:\Users\mtann\Desktop\site_671.jpg.locked","2026-04-24 18:51:46 EDT","Windows_Ransomware_Build.vmdk",
lol.lnk,"C:\Users\ITAdmin\Documents\lol.py","2026-04-24 14:27:37 EDT","Windows_Ransomware_Build.vmdk",
"Ransomware-Simulator-main.lnk","No preferred path found","2026-04-23 23:15:09 EDT","Windows_Ransomware_Build.vmdk",
client_call_agenda.lnk,"No preferred path found","2026-04-24 00:01:13 EDT","Windows_Ransomware_Build.vmdk",
"PBTG-Bridge-Barron-County-WI-e1712253655978.lnk","C:\Users\mtann\Desktop\PBTG-Bridge-Barron-County-WI-e1712253655978.webp","2026-04-24 12:57:11 EDT","Windows_Ransomware_Build.vmdk",
Vendors.lnk,"C:\Users\mtann\Stark_Engineering\Vendors","2026-04-23 23:20:26 EDT","Windows_Ransomware_Build.vmdk",
Projects.lnk,"C:\Users\mtann\Stark_Engineering\Projects","2026-04-23 23:19:47 EDT","Windows_Ransomware_Build.vmdk",
lol.txt.lnk,"C:\Users\mtann\lol.txt","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
lol.lnk,"C:\Users\mtann\lol.txt","2026-04-24 18:54:41 EDT","Windows_Ransomware_Build.vmdk",
Stark_Engineering.lnk,"C:\Users\mtann\Stark_Engineering","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
"lol (2).lnk","C:\Users\mtann\lol.txt","2026-04-24 18:48:06 EDT","Windows_Ransomware_Build.vmdk",
lol.py.lnk,"C:\Users\ITAdmin\Documents\lol.py","0000-00-00 00:00:00","Windows_Ransomware_Build.vmdk",
City_Contracts.lnk,"No preferred path found","2026-04-23 23:30:16 EDT","Windows_Ransomware_Build.vmdk",
vendor_contacts.csv.lnk,"C:\Users\mtann\Stark_Engineering\Vendors\vendor_contacts.csv.txt","2026-04-23 23:40:51 EDT","Windows_Ransomware_Build.vmdk",
Q2_Proposals.lnk,"C:\Users\mtann\Stark_Engineering\Projects\Q2_Proposals","2026-04-23 23:30:30 EDT","Windows_Ransomware_Build.vmdk",
"Bridge_Inspection_Program.lnk","No preferred path found","2026-04-23 23:21:11 EDT","Windows_Ransomware_Build.vmdk",
client_list.csv.lnk,"C:\Users\mtann\Stark_Engineering\Projects\Q2_Proposals\client_list.csv","2026-04-24 00:02:04 EDT","Windows_Ransomware_Build.vmdk",
NTUSER.DAT,"C:\WINDOWS\system32\secpol.msc",,"Windows_Ransomware_Build.vmdk","Recently opened according to Windows Management Console MRU"
