"Source Name",Path,Key,"Data Source","Last Write","Date Modified","Date Created","Date Accessed"
UsrClass.dat,"{f874310e-b6b7-47dc-bc84-b9e6b38f5903}","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\0\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,"My Computer","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\","Windows_Ransomware_Build.vmdk","2026-04-24 22:48:14 EDT",,,
UsrClass.dat,"My Computer\C:\","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:14 EDT",,,
UsrClass.dat,"My Computer\C:\User","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:16 EDT","2026-04-24 17:40:48 EDT","2024-04-01 07:21:18 EDT","2026-04-24 17:40:48 EDT"
UsrClass.dat,"My Computer\C:\User\mtan","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:17 EDT","2026-04-24 03:35:44 EDT","2026-04-21 00:10:52 EDT","2026-04-24 16:45:48 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:28 EDT","2026-04-24 03:20:36 EDT","2026-04-24 03:19:20 EDT","2026-04-24 17:42:24 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\0\","Windows_Ransomware_Build.vmdk",,"2026-04-24 03:30:32 EDT","2026-04-24 03:19:42 EDT","2026-04-24 17:42:24 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Project\Site_Assessment","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\0\0\","Windows_Ransomware_Build.vmdk","2026-04-24 17:42:30 EDT","2026-04-24 04:06:48 EDT","2026-04-24 03:21:38 EDT","2026-04-24 17:42:24 EDT"
UsrClass.dat,"My Computer\C:\User\mtan\Stark_Engineerin\Financ","Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\0\0\0\1\","Windows_Ransomware_Build.vmdk","2026-04-24 22:48:14 EDT","2026-04-24 22:46:00 EDT","2026-04-24 03:19:54 EDT","2026-04-24 22:46:00 EDT"
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\2\","Windows_Ransomware_Build.vmdk",,,,
UsrClass.dat,Explorer,"Local Settings\Software\Microsoft\Windows\Shell\BagMRU\3\","Windows_Ransomware_Build.vmdk",,,,
